gene	cgm	cgm_core
38355_at	1	-1
36638_at	1	1
38514_at	1	-1
41214_at	1	-1
36108_at	1	1
39318_at	1	1
38096_f_at	1	1
38319_at	1	1
37006_at	1	1
38585_at	0	0
39389_at	1	1
32649_at	1	1
41470_at	1	-1
41723_s_at	1	1
38095_i_at	1	1
31525_s_at	0	0
266_s_at	1	1
39839_at	1	1
33705_at	1	1
41266_at	1	1
40775_at	1	1
38242_at	1	1
33516_at	0	0
33412_at	-1	-1
41164_at	1	1
40570_at	1	1
1110_at	1	1
36536_at	1	1
36711_at	1	1
38604_at	1	1
39878_at	-1	-1
37280_at	1	-1
38994_at	1	1
37039_at	1	1
40202_at	1	1
41165_g_at	1	1
31687_f_at	0	0
36275_at	1	1
34168_at	1	1
35926_s_at	0	0
35016_at	1	1
40936_at	1	1
37701_at	1	-1
296_at	1	-1
32612_at	1	1
39729_at	0	-1
1065_at	1	1
37623_at	1	1
33439_at	1	1
40953_at	1	1
41468_at	1	1
33238_at	1	1
37809_at	1	1
36927_at	1	-1
34033_s_at	1	1
34362_at	1	1
1096_g_at	1	1
38968_at	1	-1
34800_at	1	1
37558_at	-1	-1
38147_at	1	1
38833_at	1	1
280_g_at	1	1
36878_f_at	1	1
995_g_at	-1	-1
37399_at	1	1
36650_at	1	-1
32035_at	1	1
41215_s_at	1	1
41356_at	1	1
41504_s_at	1	-1
37043_at	1	1
32542_at	1	1
32794_g_at	1	1
36239_at	1	1
307_at	1	1
37988_at	1	1
35372_r_at	1	1
38917_at	1	1
39317_at	1	1
41166_at	1	1
34210_at	1	-1
33809_at	1	1
39829_at	1	1
914_g_at	1	1
38354_at	1	-1
32855_at	1	1
37625_at	1	1
1369_s_at	1	-1
1325_at	1	-1
33274_f_at	1	-1
33273_f_at	1	-1
38052_at	-1	-1
33232_at	0	-1
36773_f_at	1	1
36103_at	1	-1
37344_at	1	1
38446_at	1	-1
41193_at	1	-1
39710_at	1	1
36937_s_at	1	1
33410_at	1	1
36575_at	1	-1
32434_at	-1	-1
37078_at	1	1
40088_at	1	1
35940_at	-1	-1
37024_at	-1	-1
40511_at	1	1
717_at	1	1
2036_s_at	1	1
1104_s_at	1	-1
37403_at	1	1
32916_at	1	1
1915_s_at	1	-1
38051_at	1	1
2057_g_at	1	-1
33462_at	1	1
37864_s_at	1	-1
36591_at	1	1
1150_at	1	1
245_at	1	1
1478_at	1	1
37641_at	1	-1
33440_at	1	1
37283_at	1	-1
38194_s_at	1	-1
37544_at	1	-1
2059_s_at	1	1
32184_at	1	1
1126_s_at	1	1
39120_at	-1	-1
32052_at	0	0
37645_at	1	1
37304_at	1	1
36617_at	-1	-1
34961_at	1	1
40951_at	1	-1
35974_at	1	-1
40631_at	1	-1
37014_at	1	-1
547_s_at	1	1
2031_s_at	1	1
2062_at	1	-1
1105_s_at	1	1
40749_at	1	-1
40916_at	1	1
41577_at	1	1
41096_at	0	0
873_at	1	-1
40091_at	1	1
34378_at	-1	-1
41155_at	1	1
1077_at	1	1
1211_s_at	1	1
36821_at	-1	-1
39759_at	1	1
35193_at	1	-1
40454_at	1	1
35643_at	1	1
40767_at	1	1
36398_at	-1	-1
37420_i_at	1	1
481_at	1	1
1916_s_at	1	-1
38408_at	1	1
38374_at	1	-1
40095_at	0	0
32227_at	1	1
40698_at	1	1
38578_at	1	-1
40082_at	1	1
38385_at	1	1
35614_at	1	1
33411_g_at	1	1
41609_at	1	1
34583_at	1	1
1052_s_at	0	-1
37497_at	1	1
37187_at	1	-1
286_at	1	1
38018_g_at	1	1
1389_at	1	1
40516_at	1	1
41071_at	1	-1
37027_at	-1	-1
39827_at	1	-1
34927_at	1	1
32609_at	1	1
35164_at	1	1
40992_s_at	1	1
37218_at	1	1
32134_at	1	-1
36091_at	1	-1
41710_at	1	1
41690_at	1	1
37732_at	1	1
38510_at	1	1
39331_at	1	-1
32583_at	1	1
32872_at	1	1
AFFX-HSAC07/X00351_5_at	1	1
40367_at	1	1
33284_at	0	-1
38364_at	1	1
36502_at	1	1
34472_at	1	1
1183_at	1	-1
40607_at	1	1
287_at	1	-1
39032_at	1	1
38037_at	1	1
41734_at	1	1
1519_at	1	1
1113_at	1	1
330_s_at	1	1
37225_at	-1	-1
34677_f_at	1	1
675_at	1	-1
34721_at	1	-1
529_at	1	-1
41048_at	1	-1
38894_g_at	1	1
39781_at	1	1
39182_at	1	1
40113_at	1	1
36021_at	1	-1
1403_s_at	0	0
38893_at	1	1
40396_at	-1	-1
41273_at	1	1
34898_at	-1	-1
31692_at	1	-1
39696_at	-1	-1
1914_at	1	-1
36873_at	1	-1
34891_at	1	1
37285_at	0	0
31892_at	-1	-1
38717_at	1	1
37759_at	1	1
38750_at	1	1
1106_s_at	-1	-1
37324_at	1	1
35961_at	-1	-1
33386_at	1	-1
38747_at	1	1
40790_at	1	1
32193_at	1	1
33336_at	0	0
38087_s_at	1	-1
39681_at	-1	-1
38363_at	0	0
41790_at	1	1
36543_at	1	1
2049_s_at	1	1
40522_at	1	1
37112_at	1	1
1005_at	1	1
32773_at	1	1
41735_at	1	1
37960_at	-1	-1
37398_at	1	1
37536_at	1	1
38825_at	1	1
31472_s_at	1	1
36941_at	1	1
297_g_at	1	-1
37363_at	1	1
38326_at	0	0
41471_at	0	0
1674_at	1	-1
735_s_at	1	1
36227_at	-1	-1
40046_r_at	1	1
38111_at	0	0
38906_at	0	-1
32249_at	1	-1
33700_at	1	-1
35842_at	1	1
33821_at	1	1
34460_at	1	-1
37524_at	1	1
40519_at	1	-1
37539_at	1	1
33352_at	1	1
36943_r_at	1	-1
41827_f_at	1	-1
31526_f_at	1	1
39208_i_at	0	0
753_at	-1	-1
41123_s_at	-1	-1
34745_at	1	1
34964_at	1	-1
36908_at	1	1
41156_g_at	1	1
32793_at	1	1
36630_at	1	1
40103_at	1	1
35985_at	1	-1
40780_at	1	1
37018_at	1	1
36618_g_at	-1	-1
32168_s_at	1	1
279_at	1	1
36674_at	1	-1
1857_at	1	1
39575_at	1	1
32523_at	1	1
40726_at	1	1
40215_at	1	1
39056_at	1	1
35158_at	1	1
33911_at	1	-1
33113_at	1	1
37251_s_at	1	-1
37762_at	1	1
39273_at	1	1
41784_at	1	1
37736_at	1	1
35831_at	1	-1
39733_at	1	-1
35127_at	1	-1
41097_at	1	1
33528_at	1	-1
33500_i_at	1	-1
1911_s_at	-1	-1
38312_at	1	-1
40763_at	1	-1
36223_at	-1	-1
38220_at	1	1
33774_at	1	1
38017_at	1	1
37493_at	-1	-1
35681_r_at	1	1
39712_at	1	1
40782_at	1	1
37710_at	1	1
39329_at	1	1
33304_at	1	1
34840_at	1	1
32724_at	-1	-1
32827_at	1	-1
1984_s_at	1	1
40365_at	-1	-1
39070_at	1	-1
31886_at	1	1
33131_at	1	1
35562_at	1	-1
38278_at	1	1
1370_at	-1	-1
35995_at	1	1
35350_at	1	1
38146_at	1	-1
33244_at	1	-1
40585_at	1	1
32607_at	-1	-1
41439_at	1	-1
35816_at	1	-1
599_at	1	1
37421_f_at	1	1
39695_at	1	1
37600_at	1	1
41213_at	1	1
38336_at	1	1
41409_at	1	1
39931_at	1	1
32112_s_at	1	1
40518_at	1	1
34699_at	1	1
32926_at	1	-1
41872_at	-1	-1
1433_g_at	1	1
33891_at	1	-1
963_at	-1	-1
36785_at	1	-1
40448_at	1	1
37583_at	1	-1
36493_at	1	-1
37724_at	-1	-1
37145_at	0	0
39929_at	1	-1
40813_at	1	1
36491_at	-1	-1
1520_s_at	1	-1
35449_at	0	-1
39338_at	0	-1
538_at	1	1
36629_at	1	1
35663_at	1	1
39248_at	1	1
32786_at	1	1
33102_at	1	1
36874_at	1	1
36347_f_at	1	1
35794_at	1	1
37147_at	1	-1
1292_at	1	-1
946_at	1	1
36808_at	1	1
41544_at	-1	-1
1461_at	1	-1
41188_at	-1	-1
38826_at	1	1
31870_at	-1	-1
37716_at	1	1
31506_s_at	0	0
38767_at	-1	-1
38944_at	1	1
931_at	1	-1
32588_s_at	1	1
41337_at	1	1
36669_at	1	-1
38125_at	-1	-1
36636_at	0	-1
37025_at	-1	-1
318_at	1	1
34676_at	-1	-1
35625_at	1	1
35872_at	-1	-1
860_at	1	1
106_at	1	-1
32067_at	1	-1
39114_at	1	1
1884_s_at	1	1
34308_at	1	-1
39964_at	1	1
41138_at	1	-1
AFFX-M27830_5_at	-1	-1
37755_at	-1	-1
35934_at	1	1
39822_s_at	1	1
32562_at	1	1
31508_at	1	1
38739_at	1	1
160_at	1	1
40019_at	1	1
32775_r_at	1	1
1473_s_at	1	1
38381_at	1	1
40117_at	1	1
41779_at	1	-1
37343_at	-1	-1
36453_at	-1	-1
33800_at	1	1
37015_at	-1	-1
34850_at	1	-1
1272_at	1	1
41585_at	1	-1
37312_at	1	1
40468_at	1	1
41191_at	1	1
1895_at	1	1
40428_i_at	-1	-1
1327_s_at	1	1
1115_at	0	0
1173_g_at	1	1
34304_s_at	1	1
32901_s_at	1	-1
41503_at	1	1
33856_at	-1	-1
39614_at	-1	-1
33253_at	1	1
34842_at	1	-1
34180_at	-1	-1
39072_at	0	0
41401_at	1	1
38035_at	1	1
32186_at	-1	-1
33513_at	-1	-1
706_at	1	1
34782_at	1	1
39402_at	-1	-1
316_g_at	1	1
33121_g_at	1	1
32393_s_at	1	-1
32696_at	1	1
595_at	1	-1
37944_at	1	1
31891_at	1	1
1474_s_at	1	-1
36924_r_at	1	1
37971_at	1	1
40853_at	1	1
38631_at	0	-1
37686_s_at	1	1
38116_at	1	1
38711_at	1	1
AFFX-BioDn-5_at	1	-1
38511_at	1	1
35807_at	1	1
41767_r_at	1	-1
41747_s_at	1	1
38949_at	1	1
40729_s_at	1	-1
1102_s_at	1	1
38006_at	0	-1
37984_s_at	1	-1
37747_at	-1	-1
35576_f_at	1	1
41490_at	1	-1
32255_i_at	1	1
32554_s_at	-1	-1
40828_at	1	1
33369_at	1	1
41278_at	1	1
854_at	1	1
35699_at	1	1
224_at	1	1
35277_at	1	-1
1505_at	1	-1
40552_s_at	1	1
34785_at	1	1
33910_at	-1	-1
38413_at	1	-1
41355_at	1	1
41139_at	1	-1
37200_at	0	0
39809_at	1	1
33761_s_at	1	1
41448_at	1	-1
40818_at	1	1
33039_at	1	1
39779_at	1	1
33362_at	1	1
432_s_at	-1	-1
32287_s_at	0	-1
33936_at	1	-1
37306_at	1	1
37242_at	1	1
2094_s_at	1	1
777_at	1	1
39428_at	1	1
1373_at	1	1
40165_at	1	1
38581_at	1	1
39756_g_at	1	1
174_s_at	1	1
33753_at	1	1
32026_s_at	1	1
160029_at	1	1
33219_at	1	1
315_at	1	1
1616_at	1	-1
33316_at	1	1
1973_s_at	-1	-1
40615_at	1	1
41812_s_at	1	1
40961_at	1	1
36979_at	1	-1
190_at	1	-1
36643_at	1	1
39069_at	1	-1
38487_at	1	-1
40480_s_at	1	-1
38453_at	1	1
39873_at	1	1
38895_i_at	1	1
1498_at	1	1
853_at	1	1
40375_at	1	-1
351_f_at	1	1
35303_at	1	1
32570_at	1	1
32842_at	1	1
39930_at	1	1
AFFX-HSAC07/X00351_M_at	1	1
37844_at	1	1
1377_at	1	1
36511_at	1	1
1081_at	-1	-1
38098_at	1	1
1107_s_at	1	-1
35885_at	1	-1
182_at	1	-1
38805_at	1	1
649_s_at	1	1
33358_at	1	-1
