gene	fgm	fgm_core
38355_at	-1	-1
36638_at	6	6
38514_at	6	-1
41214_at	-1	-1
36108_at	6	-1
39318_at	6	6
38096_f_at	6	6
38319_at	4	4
37006_at	6	-1
39389_at	6	6
32649_at	4	4
41470_at	6	-1
41723_s_at	6	6
38095_i_at	6	6
266_s_at	6	6
39839_at	6	6
33705_at	6	6
41266_at	6	6
40775_at	5	-1
38242_at	6	6
41164_at	6	6
40570_at	6	6
1110_at	4	4
36536_at	6	6
36711_at	6	6
38604_at	6	-1
37280_at	6	-1
38994_at	6	6
37039_at	6	6
40202_at	6	6
41165_g_at	6	6
36275_at	6	-1
34168_at	6	-1
35016_at	6	6
40936_at	6	6
37701_at	6	6
296_at	6	-1
32612_at	6	6
1065_at	6	6
37623_at	6	6
33439_at	6	6
40953_at	6	-1
41468_at	4	4
33238_at	4	4
37809_at	0	0
36927_at	1	1
34033_s_at	6	6
34362_at	6	6
1096_g_at	6	6
38968_at	6	-1
34800_at	6	-1
38147_at	4	4
38833_at	6	6
280_g_at	6	6
36878_f_at	6	6
37399_at	-1	-1
36650_at	6	-1
32035_at	6	6
41215_s_at	6	6
41356_at	6	6
41504_s_at	-1	-1
37043_at	6	6
32542_at	6	6
32794_g_at	4	4
36239_at	6	-1
307_at	6	6
37988_at	6	6
35372_r_at	6	-1
38917_at	4	4
39317_at	5	-1
41166_at	6	6
34210_at	6	6
33809_at	6	6
39829_at	4	4
914_g_at	6	-1
38354_at	6	-1
32855_at	6	-1
37625_at	6	6
1369_s_at	6	-1
1325_at	6	-1
33274_f_at	6	6
33273_f_at	6	6
36773_f_at	6	6
36103_at	6	-1
37344_at	6	6
38446_at	-1	-1
41193_at	6	-1
39710_at	6	6
36937_s_at	6	6
33410_at	6	6
36575_at	6	-1
37078_at	5	5
40088_at	6	6
40511_at	5	5
717_at	4	-1
2036_s_at	6	6
1104_s_at	6	-1
37403_at	-1	-1
32916_at	6	6
1915_s_at	6	6
38051_at	4	4
2057_g_at	6	-1
33462_at	6	-1
37864_s_at	6	6
36591_at	6	6
1150_at	6	6
245_at	-1	-1
1478_at	5	5
37641_at	1	1
33440_at	6	-1
37283_at	6	-1
38194_s_at	6	6
37544_at	6	-1
2059_s_at	4	4
32184_at	6	6
1126_s_at	6	6
37645_at	6	6
37304_at	-1	-1
34961_at	-1	-1
40951_at	6	6
35974_at	6	6
40631_at	6	6
37014_at	1	1
547_s_at	6	6
2031_s_at	6	6
2062_at	6	-1
1105_s_at	4	4
40749_at	6	-1
40916_at	-1	-1
41577_at	6	6
873_at	0	0
40091_at	6	-1
41155_at	6	6
1077_at	6	-1
1211_s_at	6	-1
39759_at	6	6
35193_at	-1	-1
40454_at	-1	-1
35643_at	-1	-1
40767_at	-1	-1
37420_i_at	6	6
481_at	6	6
1916_s_at	6	6
38408_at	5	-1
38374_at	6	6
32227_at	6	6
40698_at	6	6
38578_at	6	-1
40082_at	6	6
38385_at	-1	-1
35614_at	3	-1
33411_g_at	6	-1
41609_at	6	6
34583_at	6	6
37497_at	6	6
37187_at	6	-1
286_at	6	6
38018_g_at	6	6
1389_at	6	6
40516_at	-1	-1
41071_at	-1	-1
39827_at	6	6
34927_at	-1	-1
32609_at	6	6
35164_at	6	6
40992_s_at	6	6
37218_at	5	5
32134_at	5	-1
36091_at	-1	-1
41710_at	6	-1
41690_at	6	6
37732_at	6	6
38510_at	6	-1
39331_at	6	-1
32583_at	-1	-1
32872_at	6	6
AFFX-HSAC07/X00351_5_at	6	6
40367_at	6	6
38364_at	6	6
36502_at	6	-1
34472_at	6	-1
1183_at	6	-1
40607_at	6	-1
287_at	6	6
39032_at	-1	-1
38037_at	6	6
41734_at	6	6
1519_at	6	6
1113_at	6	6
330_s_at	6	6
34677_f_at	6	-1
675_at	6	-1
34721_at	6	6
529_at	6	-1
41048_at	6	6
38894_g_at	6	6
39781_at	6	6
39182_at	6	6
40113_at	4	-1
36021_at	6	6
38893_at	6	6
41273_at	6	6
31692_at	6	-1
1914_at	6	-1
36873_at	0	0
34891_at	6	-1
38717_at	6	-1
37759_at	6	6
38750_at	-1	-1
37324_at	6	-1
33386_at	6	6
38747_at	6	6
40790_at	6	6
32193_at	-1	-1
38087_s_at	6	6
41790_at	6	-1
36543_at	6	-1
2049_s_at	6	6
40522_at	5	5
37112_at	6	-1
1005_at	6	6
32773_at	6	6
41735_at	6	6
37398_at	6	-1
37536_at	6	6
38825_at	6	-1
31472_s_at	6	6
36941_at	-1	-1
297_g_at	6	-1
37363_at	6	-1
1674_at	6	-1
735_s_at	6	6
40046_r_at	6	-1
32249_at	-1	-1
33700_at	6	-1
35842_at	6	6
33821_at	6	-1
34460_at	6	-1
37524_at	6	6
40519_at	5	5
37539_at	6	6
33352_at	6	6
36943_r_at	-1	-1
41827_f_at	6	6
31526_f_at	-1	-1
34745_at	6	6
34964_at	6	-1
36908_at	6	-1
41156_g_at	6	6
32793_at	4	4
36630_at	6	6
40103_at	6	6
35985_at	6	-1
40780_at	6	6
37018_at	6	6
32168_s_at	6	6
279_at	6	6
36674_at	6	6
1857_at	6	6
39575_at	4	4
32523_at	6	6
40726_at	3	3
40215_at	6	6
39056_at	-1	-1
35158_at	-1	-1
33911_at	-1	-1
33113_at	6	-1
37251_s_at	6	-1
37762_at	6	6
39273_at	-1	-1
41784_at	-1	-1
37736_at	3	-1
35831_at	-1	-1
39733_at	6	-1
35127_at	6	6
41097_at	6	6
33528_at	0	-1
33500_i_at	6	6
38312_at	6	-1
40763_at	0	0
38220_at	-1	-1
33774_at	6	-1
38017_at	6	6
35681_r_at	6	6
39712_at	6	6
40782_at	6	6
37710_at	6	6
39329_at	6	-1
33304_at	6	6
34840_at	6	-1
32827_at	6	-1
1984_s_at	6	6
39070_at	6	-1
31886_at	6	6
33131_at	6	6
35562_at	6	-1
38278_at	6	6
35995_at	3	3
35350_at	6	6
38146_at	-1	-1
33244_at	6	-1
40585_at	2	2
41439_at	6	-1
35816_at	6	-1
599_at	6	6
37421_f_at	6	6
39695_at	6	6
37600_at	6	6
41213_at	6	6
38336_at	6	6
41409_at	6	6
39931_at	6	6
32112_s_at	6	6
40518_at	5	5
34699_at	6	-1
32926_at	6	6
1433_g_at	6	6
33891_at	6	6
36785_at	6	6
40448_at	6	6
37583_at	-1	-1
36493_at	6	-1
39929_at	6	-1
40813_at	-1	-1
1520_s_at	6	6
538_at	6	6
36629_at	6	6
35663_at	0	0
39248_at	-1	-1
32786_at	6	6
33102_at	6	6
36874_at	-1	-1
36347_f_at	6	6
35794_at	6	6
37147_at	6	6
1292_at	6	6
946_at	6	6
36808_at	4	4
1461_at	6	6
38826_at	6	-1
37716_at	6	6
38944_at	6	6
931_at	6	6
32588_s_at	6	6
41337_at	6	6
36669_at	6	6
318_at	6	6
35625_at	6	6
860_at	3	-1
106_at	5	5
32067_at	6	-1
39114_at	6	6
1884_s_at	3	3
34308_at	6	6
39964_at	6	6
41138_at	6	6
35934_at	6	6
39822_s_at	6	6
32562_at	6	6
31508_at	6	6
38739_at	6	6
160_at	6	-1
40019_at	6	6
32775_r_at	6	6
1473_s_at	6	6
38381_at	6	6
40117_at	3	3
41779_at	6	6
33800_at	6	-1
34850_at	6	6
1272_at	6	6
41585_at	6	-1
37312_at	6	-1
40468_at	6	-1
41191_at	0	0
1895_at	-1	-1
1327_s_at	-1	-1
1173_g_at	6	6
34304_s_at	6	6
32901_s_at	6	6
41503_at	6	6
33253_at	2	2
34842_at	6	-1
41401_at	6	6
38035_at	6	6
706_at	6	6
34782_at	6	6
316_g_at	6	6
33121_g_at	4	4
32393_s_at	6	-1
32696_at	6	-1
595_at	6	6
37944_at	6	-1
31891_at	4	4
1474_s_at	6	6
36924_r_at	-1	-1
37971_at	6	-1
40853_at	2	2
37686_s_at	-1	-1
38116_at	3	3
38711_at	6	-1
AFFX-BioDn-5_at	6	6
38511_at	4	-1
35807_at	6	6
41767_r_at	6	-1
41747_s_at	6	6
38949_at	4	4
40729_s_at	6	6
1102_s_at	6	6
37984_s_at	6	6
35576_f_at	6	6
41490_at	-1	-1
32255_i_at	6	-1
40828_at	6	6
33369_at	5	5
41278_at	3	-1
854_at	6	6
35699_at	3	3
224_at	6	6
35277_at	-1	-1
1505_at	3	3
40552_s_at	6	-1
34785_at	6	6
