gene	cgm	cgm_core
202917_s_at	-1	-1
217022_s_at	12	12
207935_s_at	-1	-1
211430_s_at	12	12
202409_at	-1	-1
205916_at	1	1
214677_x_at	12	12
212768_s_at	2	2
212531_at	2	2
213953_at	-1	-1
209351_at	1	1
209138_x_at	12	12
209125_at	1	1
201496_x_at	11	11
210143_at	3	3
215176_x_at	12	12
209942_x_at	0	-1
209016_s_at	-1	-1
204475_at	-1	-1
206239_s_at	-1	-1
202274_at	11	11
210809_s_at	11	-1
205547_s_at	11	11
201497_x_at	11	11
203980_at	-1	-1
202222_s_at	11	11
221872_at	5	-1
206276_at	-1	-1
209156_s_at	11	-1
211645_x_at	12	12
201289_at	9	9
209719_x_at	2	2
204607_at	4	-1
39248_at	-1	-1
205630_at	0	-1
211896_s_at	11	11
201744_s_at	11	11
205549_at	11	-1
AFFX-HUMRGE/M10098_5_at	7	7
211549_s_at	4	4
203535_at	1	1
215121_x_at	12	12
212730_at	11	11
211644_x_at	12	12
202410_x_at	-1	-1
204268_at	14	14
203951_at	11	11
214612_x_at	0	-1
201820_at	1	1
210881_s_at	-1	-1
204734_at	-1	-1
206392_s_at	5	-1
201058_s_at	11	11
215379_x_at	12	12
202388_at	11	11
205319_at	4	-1
204748_at	9	9
214669_x_at	12	12
218990_s_at	-1	-1
213975_s_at	13	-1
209116_x_at	0	0
201041_s_at	9	9
202859_x_at	9	9
217028_at	9	9
211161_s_at	11	11
216834_at	9	9
205157_s_at	14	14
203649_s_at	-1	-1
213796_at	-1	-1
202555_s_at	11	11
207739_s_at	0	-1
202672_s_at	9	9
AFFX-r2-Hs18SrRNA-3_s_at	7	7
221204_s_at	3	3
209875_s_at	-1	-1
204955_at	11	11
207430_s_at	-1	-1
202554_s_at	-1	-1
221671_x_at	12	12
209458_x_at	0	0
207961_x_at	11	11
202310_s_at	11	-1
212592_at	12	12
214624_at	4	-1
216576_x_at	12	12
214774_x_at	4	4
AFFX-r2-Hs18SrRNA-5_at	7	7
205239_at	9	9
AFFX-r2-Hs28SrRNA-3_at	7	7
212464_s_at	11	11
211906_s_at	2	2
221651_x_at	12	12
221748_s_at	11	11
216401_x_at	12	12
203913_s_at	4	4
202768_at	9	9
205064_at	1	1
211719_x_at	11	11
219410_at	11	-1
217996_at	9	9
205927_s_at	3	3
209101_at	9	9
211699_x_at	0	0
210576_at	-1	-1
219727_at	2	-1
AFFX-M27830_5_at	7	7
214414_x_at	0	0
212077_at	11	11
211745_x_at	0	0
209374_s_at	12	12
218468_s_at	11	-1
206463_s_at	4	4
AFFX-HUMRGE/M10098_3_at	7	7
201540_at	11	11
213872_at	-1	-1
215729_s_at	4	-1
202411_at	-1	-1
204259_at	2	-1
210096_at	4	4
217414_x_at	0	0
221731_x_at	11	-1
220232_at	18	18
218469_at	11	-1
202291_s_at	11	11
218963_s_at	-1	-1
206199_at	2	2
205242_at	12	12
209720_s_at	2	2
200974_at	11	11
201842_s_at	11	11
208650_s_at	-1	-1
214768_x_at	12	12
217528_at	-1	-1
218541_s_at	-1	-1
209396_s_at	12	12
201859_at	-1	-1
213240_s_at	-1	-1
204083_s_at	11	11
36711_at	-1	-1
202237_at	10	10
202404_s_at	11	-1
205382_s_at	11	11
201893_x_at	11	11
220026_at	-1	-1
204018_x_at	0	0
209774_x_at	9	9
AFFX-r2-Hs18SrRNA-M_x_at	7	7
213680_at	1	1
201242_s_at	-1	-1
211737_x_at	-1	-1
203824_at	-1	-1
201324_at	9	9
204989_s_at	14	14
211959_at	-1	-1
216442_x_at	11	11
202350_s_at	11	11
206640_x_at	0	-1
210495_x_at	11	11
216623_x_at	4	4
204580_at	-1	-1
200897_s_at	11	11
203691_at	1	1
212236_x_at	14	14
211565_at	18	18
221577_x_at	6	6
209800_at	1	1
203757_s_at	-1	-1
211548_s_at	4	4
210413_x_at	2	2
