gene	fgm	fgm_core
201496_x_at	2	2
202274_at	2	2
210809_s_at	-1	-1
205547_s_at	2	-1
201497_x_at	2	2
202222_s_at	2	2
209156_s_at	-1	-1
211896_s_at	3	3
201744_s_at	-1	-1
205549_at	2	2
212730_at	2	2
203951_at	2	2
201058_s_at	2	-1
202388_at	0	-1
211161_s_at	10	-1
202555_s_at	2	-1
204955_at	-1	-1
207961_x_at	2	2
202310_s_at	9	9
212464_s_at	8	8
221748_s_at	2	2
211719_x_at	8	8
219410_at	-1	-1
212077_at	-1	-1
218468_s_at	-1	-1
201540_at	5	5
221731_x_at	-1	-1
218469_at	-1	-1
202291_s_at	-1	-1
200974_at	2	-1
201842_s_at	-1	-1
204083_s_at	-1	-1
202404_s_at	9	9
205382_s_at	-1	-1
201893_x_at	-1	-1
216442_x_at	8	8
202350_s_at	1	1
210495_x_at	8	8
200897_s_at	-1	-1
202311_s_at	10	10
209687_at	1	1
211813_x_at	-1	-1
204620_s_at	10	10
218087_s_at	2	2
210986_s_at	4	-1
201852_x_at	9	9
215076_s_at	9	9
221729_at	10	10
203131_at	-1	-1
201438_at	9	9
205132_at	5	5
207173_x_at	5	5
209612_s_at	1	1
209613_s_at	1	1
208747_s_at	-1	-1
221730_at	10	10
217967_s_at	-1	-1
203766_s_at	2	2
200907_s_at	-1	-1
203477_at	-1	-1
209118_s_at	-1	-1
212097_at	-1	-1
219087_at	-1	-1
213428_s_at	4	-1
202403_s_at	9	9
210139_s_at	3	3
209335_at	-1	-1
201560_at	-1	-1
205683_x_at	6	6
206116_s_at	4	-1
212354_at	8	8
204719_at	1	1
200986_at	-1	-1
218353_at	3	3
200795_at	3	3
208131_s_at	-1	-1
202037_s_at	0	0
201105_at	6	-1
212488_at	10	10
207134_x_at	6	6
216474_x_at	6	6
218718_at	-1	-1
201427_s_at	-1	-1
221541_at	0	0
202746_at	1	1
204939_s_at	2	2
212667_at	-1	-1
217757_at	3	3
204540_at	4	4
211748_x_at	3	3
212233_at	-1	-1
212865_s_at	1	1
203868_s_at	-1	-1
202283_at	-1	-1
215382_x_at	6	6
210298_x_at	5	5
202766_s_at	-1	-1
209191_at	-1	-1
201506_at	-1	-1
213746_s_at	4	4
210511_s_at	8	8
209071_s_at	3	3
202450_s_at	8	8
212489_at	10	10
201616_s_at	-1	-1
37892_at	8	8
211981_at	7	7
210084_x_at	6	6
209436_at	-1	-1
212187_x_at	3	3
212386_at	-1	-1
205624_at	3	3
215646_s_at	10	10
209621_s_at	5	5
205935_at	0	0
210987_x_at	4	4
209074_s_at	0	0
211571_s_at	10	10
219049_at	0	0
209210_s_at	3	3
200665_s_at	7	7
212713_at	0	0
208335_s_at	3	3
201617_x_at	-1	-1
200762_at	-1	-1
212067_s_at	-1	-1
201792_at	8	8
212805_at	5	5
214247_s_at	-1	-1
201426_s_at	7	7
212190_at	6	-1
204931_at	0	0
200953_s_at	-1	-1
210517_s_at	3	3
200600_at	7	7
211734_s_at	0	0
202007_at	-1	-1
203065_s_at	-1	-1
203729_at	6	-1
221747_at	5	5
211980_at	7	7
201761_at	-1	-1
212195_at	-1	-1
211966_at	7	7
209651_at	-1	-1
214752_x_at	4	4
215813_s_at	5	5
211964_at	7	7
202686_s_at	-1	-1
213891_s_at	-1	-1
203881_s_at	-1	-1
200782_at	-1	-1
203680_at	0	0
204051_s_at	8	8
200859_x_at	4	4
201539_s_at	5	5
212012_at	7	7
202133_at	-1	-1
212764_at	-1	-1
202992_at	5	5
209732_at	-1	-1
210299_s_at	5	5
202620_s_at	-1	-1
217590_s_at	0	0
201310_s_at	-1	-1
201431_s_at	-1	-1
218656_s_at	4	4
203498_at	5	5
217764_s_at	-1	-1
214027_x_at	5	5
202878_s_at	-1	-1
201069_at	6	-1
203878_s_at	8	8
203423_at	6	-1
209505_at	0	-1
212843_at	5	5
204345_at	-1	-1
201163_s_at	-1	-1
202202_s_at	-1	-1
207390_s_at	4	4
218162_at	7	-1
207808_s_at	-1	-1
214505_s_at	5	5
208636_at	6	-1
217897_at	5	5
203325_s_at	8	8
204894_s_at	5	5
208789_at	-1	-1
203414_at	-1	-1
204457_s_at	-1	-1
212353_at	8	8
202157_s_at	3	3
209392_at	3	3
213496_at	0	0
204114_at	7	7
212915_at	1	1
201061_s_at	-1	-1
213994_s_at	0	0
203417_at	-1	-1
