layer	module	phenotype	test	levels_or_n	effect	p	fdr
CGM	CGM_9	outcome	anova	5	32.264963479454224	1.5976306234066625e-13	9.106494553417975e-12
CGM	CGM_9	cancer	anova	3	44.95425497769521	3.2084601557297924e-12	9.144111443829909e-11
CGM	CGM_6	outcome	anova	5	18.381677800369598	1.8165571244036293e-09	3.4514585363668956e-08
CGM	CGM_15	cancer	anova	3	27.57344731202655	5.601755488335596e-09	7.982501570878224e-08
CGM	CGM_15	outcome	anova	5	15.754153895503869	1.6574643947059988e-08	1.8895094099648384e-07
CGM	CGM_17	outcome	anova	5	14.099994602098192	7.370957311545725e-08	7.002409445968439e-07
CGM	CGM_6	cancer	anova	3	22.320086196668523	8.613473162555911e-08	7.01382814665267e-07
CGM	CGM_10	outcome	anova	5	13.601787198629529	1.1749040047827847e-07	8.371191034077341e-07
CGM	CGM_5	outcome	anova	5	12.261595723198282	4.292636982623526e-07	2.7186700889949e-06
CGM	CGM_16	outcome	anova	5	9.958955459407134	4.6441069205308e-06	2.647140944702556e-05
CGM	CGM_16	cancer	anova	3	13.534782410419606	1.7197677008746896e-05	8.91152354089612e-05
CGM	CGM_8	outcome	anova	5	8.291292748179323	2.9893242779370023e-05	0.00014199290320200762
CGM	CGM_17	cancer	anova	3	12.29147393218396	3.988108573542718e-05	0.0001748632220707192
CGM	CGM_4	outcome	anova	5	7.451786281171263	8.009389270537029e-05	0.000326096563157579
CGM	CGM_14	outcome	anova	5	7.341315627417021	9.14153124571614e-05	0.0003473781873372133
CGM	CGM_5	cancer	anova	3	10.993960704227987	9.874798979500809e-05	0.0003517897136447163
CGM	CGM_7	batch	spearman	57	0.47769114931737555	0.0001715356718514721	0.0005751490173843476
CGM	CGM_11	outcome	anova	5	6.478138131774977	0.0002622379315323434	0.0008304201165190875
CGM	CGM_13	outcome	anova	5	6.104196420947761	0.0004188075414399289	0.0012564226243197867
CGM	CGM_14	cancer	anova	3	8.813376347508415	0.0004870790331061108	0.0013881752443524156
CGM	CGM_12	outcome	anova	5	4.880479104903953	0.0020369363182506186	0.005528827149537393
CGM	CGM_1	outcome	anova	5	4.483057489263162	0.0034601938955984048	0.008965047820414048
CGM	CGM_10	cancer	anova	3	5.631490559282973	0.006006548709720649	0.014661896121707993
CGM	CGM_6	batch	spearman	57	0.3585128562225922	0.0061734299459823136	0.014661896121707993
CGM	CGM_14	batch	spearman	57	-0.35433116172803847	0.006846433586437668	0.015009489016421042
CGM	CGM_4	cancer	anova	3	5.479112804591996	0.0068156829081001185	0.015009489016421042
CGM	CGM_7	outcome	anova	5	3.7649620842007887	0.00918431436957165	0.01938910811354015
CGM	CGM_3	outcome	anova	5	3.4022412801573627	0.015161872774400257	0.030865241005029097
CGM	CGM_11	cancer	anova	3	4.238173272814029	0.01951235257761611	0.038351865411176495
CGM	CGM_1	batch	spearman	57	-0.3003400900685172	0.02320958535466001	0.04409821217385402
CGM	CGM_2	outcome	anova	5	2.8772826034085797	0.03155830730493279	0.05802656504455384
CGM	CGM_16	batch	spearman	57	0.2701239750110962	0.04213771874638659	0.07505781151700111
CGM	CGM_3	cancer	anova	3	2.9034226371222482	0.06343915081569554	0.10957671504529229
CGM	CGM_7	cancer	anova	3	2.794024305759842	0.07003805931713823	0.11741674650226115
CGM	CGM_8	cancer	anova	3	2.424015960253595	0.0981451969202702	0.1598364635558686
CGM	CGM_17	batch	spearman	57	0.20591473051407658	0.12436680477123518	0.1969141075544557
CGM	CGM_12	batch	spearman	57	-0.19087411967076212	0.15495207043763393	0.23870994634986847
CGM	CGM_9	batch	spearman	57	0.17495670191729928	0.19302015820314158	0.2895302373047124
CGM	CGM_4	batch	spearman	57	0.15991609107398483	0.2347320766007585	0.3430699581088009
CGM	CGM_1	cancer	anova	3	1.2715342754604093	0.2886612095236205	0.41134222357115924
CGM	CGM_2	batch	spearman	57	-0.14072750907881454	0.29642156841295825	0.4120982780375273
CGM	CGM_2	cancer	anova	3	1.059137801131716	0.35384652924166526	0.48022028968511715
CGM	CGM_5	batch	spearman	57	0.09681971688599966	0.4737047269206639	0.6279341728948336
CGM	CGM_10	batch	spearman	57	-0.09348110595889624	0.48915858224251463	0.6336827088141667
CGM	CGM_13	batch	spearman	57	-0.06943636261521188	0.6077841195117533	0.7698598847148874
CGM	CGM_18	outcome	anova	5	0.6409927271014102	0.6356614963739209	0.7709086232619893
CGM	CGM_13	cancer	anova	3	0.46619423263533305	0.6298867678467834	0.7709086232619893
CGM	CGM_8	batch	spearman	57	0.05952169986199561	0.660072208450451	0.7838357475349106
CGM	CGM_11	batch	spearman	57	0.05173160769875426	0.7023365123519305	0.7994698794994631
CGM	CGM_0	cancer	anova	3	0.36610222579856283	0.6951397432847906	0.7994698794994631
CGM	CGM_18	cancer	anova	3	0.3196798565954522	0.7277467519950958	0.7994698794994631
CGM	CGM_18	batch	spearman	57	0.046841723007542156	0.7293409427012646	0.7994698794994631
CGM	CGM_12	cancer	anova	3	0.25871306460070026	0.772995975959012	0.8313352948993148
CGM	CGM_3	batch	spearman	57	-0.020470069017694808	0.8798672425165996	0.928748755989744
CGM	CGM_0	outcome	anova	5	0.2268041325732141	0.9221815738337855	0.9557154492459232
CGM	CGM_15	batch	spearman	57	-0.004552651264231959	0.9731878076775504	0.9905661613860781
