source	signature	M	K	n	k	p	overlap_genes	fdr	module
xCell	Neurons_FANTOM_3	1200	238	19	9	0.005887568201038085	FSTL4|GABBR2|INA|PDE9A|PTPRR|PVALB|SNCG|SORL1|SUSD4	0.2642508793072078	0
xCell	Epithelial cells_ENCODE_1	1200	238	8	5	0.00978706960397066	B3GNT3|CBLC|PRSS8|RAB25|TACSTD2	0.2642508793072078	0
xCell	Neurons_FANTOM_2	1200	238	19	8	0.021274935379524212	FSTL4|GABBR2|INA|PDE9A|PTPRR|PVALB|SNCG|SUSD4	0.3655649275556114	0
xCell	Neurons_FANTOM_1	1200	238	13	6	0.02816506317209433	FSTL4|INA|PTPRR|PVALB|SNCG|SUSD4	0.3655649275556114	0
xCell	Epithelial cells_HPCA_3	1200	238	11	5	0.04801225884854228	B3GNT3|CBLC|PRSS8|RAB25|TACSTD2	0.3655649275556114	0
xCell	Hepatocytes_HPCA_2	1200	238	22	8	0.05211980014887619	BHMT|CYP2J2|CYP4F12|HMGCS2|HSD17B2|SPINK1|SULT2A1|TMPRSS2	0.3655649275556114	0
xCell	Epithelial cells_ENCODE_3	1200	238	22	8	0.05211980014887619	B3GNT3|C1orf116|EVPL|PRSS8|RAB25|TACSTD2|TMEM40|TMPRSS4	0.3655649275556114	0
xCell	Epithelial cells_HPCA_1	1200	238	8	4	0.05415776704527576	CBLC|PRSS8|RAB25|TACSTD2	0.3655649275556114	0
xCell	Epithelial cells_ENCODE_2	1200	238	9	4	0.08268604097062499	B3GNT3|PRSS8|RAB25|TMEM40	0.49611624582374986	0
xCell	Endothelial cells_FANTOM_3	1200	238	6	3	0.09633015941578063	KRT19|MMRN2|TACSTD2	0.5201828608452155	0
xCell	Epithelial cells_HPCA_2	1200	238	7	3	0.14459846523414874	CBLC|PRSS8|RAB25	0.6037699161661109	0
xCell	Epithelial cells_FANTOM_2	1200	238	23	7	0.15262450172231232	C1orf116|CLDN4|EVPL|KRT7|PRSS8|RAB25|TACSTD2	0.6037699161661109	0
xCell	pro B-cells_HPCA_2	1200	238	11	4	0.15653294122825095	CLCA4|CRH|FSTL4|KRT19	0.6037699161661109	0
xCell	Basophils_FANTOM_2	1200	238	11	4	0.15653294122825095	CLCA4|CYP4F8|FSTL4|KRT19	0.6037699161661109	0
xCell	Hepatocytes_HPCA_3	1200	238	25	7	0.21152916269310829	BHMT|CEACAM1|CYP2J2|CYP4F12|ELF3|HMGCS2|SPINK1	0.7615049856951899	0
xCell	Erythrocytes_NOVERSHTERN_3	1200	238	5	2	0.2591334281929882	EPCAM|PNMT	0.8745753201513351	0
xCell	Hepatocytes_HPCA_1	1200	238	28	7	0.3120944038276364	BHMT|CEACAM1|CYP2J2|CYP4F12|ELF3|HMGCS2|SPINK1	0.9913586945113158	0
xCell	Epithelial cells_FANTOM_1	1200	238	11	3	0.37703773202106317	CLDN4|KRT7|RAB25	0.999995020032179	0
xCell	Epithelial cells_FANTOM_3	1200	238	16	4	0.39515136125709266	CLDN4|EHF|ELF3|KRT7	0.999995020032179	0
xCell	Mesangial cells_ENCODE_3	1200	238	8	2	0.49225864064493485	HNF1B|WNT7B	0.999995020032179	0
xCell	Neurons_ENCODE_3	1200	238	11	2	0.6741585941910392	PKIA|POU3F1	0.999995020032179	0
xCell	Sebocytes_FANTOM_3	1200	238	28	5	0.6800150841213402	C1orf116|ENTPD3|PTK6|RAB25|TMEM40	0.999995020032179	0
xCell	Neurons_ENCODE_2	1200	238	18	3	0.7248870470292278	ID1|PKIA|POU3F1	0.999995020032179	0
xCell	Endothelial cells_BLUEPRINT_3	1200	238	6	1	0.7353845093880853	MMRN2	0.999995020032179	0
xCell	Keratinocytes_HPCA_2	1200	238	36	6	0.7497163509858212	B3GNT3|C1orf116|PRSS8|PTK6|RAB25|TMEM40	0.999995020032179	0
xCell	Fibroblasts_ENCODE_3	1200	238	7	1	0.788130310699338	KRT19	0.999995020032179	0
xCell	Memory B-cells_BLUEPRINT_1	1200	238	7	1	0.788130310699338	CHP2	0.999995020032179	0
xCell	MPP_FANTOM_1	1200	238	8	1	0.8303976921356813	ABO	0.999995020032179	0
xCell	Monocytes_HPCA_3	1200	238	8	1	0.8303976921356813	UPK3A	0.999995020032179	0
xCell	Hepatocytes_FANTOM_1	1200	238	34	5	0.8361122135592919	ANXA10|BHMT|PPP1R3C|SPINK1|SULT2A1	0.999995020032179	0
xCell	Keratinocytes_HPCA_3	1200	238	35	5	0.8548939228143941	B3GNT3|C1orf116|PTK6|RAB25|TMEM40	0.999995020032179	0
xCell	Keratinocytes_ENCODE_3	1200	238	9	1	0.8642612401824161	TMEM40	0.999995020032179	0
xCell	Monocytes_FANTOM_1	1200	238	9	1	0.8642612401824161	UPK3A	0.999995020032179	0
xCell	Fibroblasts_ENCODE_1	1200	238	9	1	0.8642612401824161	KRT19	0.999995020032179	0
xCell	MPP_FANTOM_2	1200	238	9	1	0.8642612401824161	ABO	0.999995020032179	0
xCell	DC_FANTOM_3	1200	238	9	1	0.8642612401824161	TACSTD2	0.999995020032179	0
xCell	Hepatocytes_FANTOM_3	1200	238	30	4	0.8759582658859479	ANXA10|BHMT|SPINK1|SULT2A1	0.999995020032179	0
xCell	Keratinocytes_ENCODE_2	1200	238	17	2	0.8803329803891827	RAB25|TMEM40	0.999995020032179	0
xCell	Keratinocytes_FANTOM_1	1200	238	62	9	0.8965533877289131	C1orf116|CBLC|EPN3|FGFR3|PLCH2|PRSS8|RAB25|SORL1|TMEM40	0.999995020032179	0
