source	signature	M	K	n	k	p	overlap_genes	fdr	fgm
xCell	B-cells_NOVERSHTERN_2	1200	12	5	2	0.000902201360664611	HLA-DOA|HLA-DPB1	0.0108264163279753	0
xCell	Melanocytes_FANTOM_3	1200	12	37	3	0.00490509659123169	HLA-DPA1|HLA-DRA|HLA-DRB1	0.0294305795473902	0
xCell	aDC_HPCA_2	1200	12	6	1	0.0586390831198081	HLA-DQA1	0.094648204842765	0
xCell	aDC_HPCA_3	1200	12	6	1	0.0586390831198081	HLA-DQA1	0.094648204842765	0
xCell	DC_IRIS_2	1200	12	9	1	0.0867608544392012	HLA-DQA1	0.094648204842765	0
xCell	DC_IRIS_3	1200	12	5	1	0.0490901980796032	HLA-DQA1	0.094648204842765	0
xCell	Melanocytes_FANTOM_2	1200	12	28	2	0.030000318189847	HLA-DRA|HLA-DRB1	0.094648204842765	0
xCell	Memory B-cells_BLUEPRINT_1	1200	12	7	1	0.0680999968572977	HLA-DPB1	0.094648204842765	0
xCell	MPP_FANTOM_1	1200	12	8	1	0.0774736766877355	HLA-DOA	0.094648204842765	0
xCell	MPP_FANTOM_2	1200	12	9	1	0.0867608544392012	HLA-DOA	0.094648204842765	0
xCell	MPP_FANTOM_3	1200	12	6	1	0.0586390831198081	HLA-DOA	0.094648204842765	0
xCell	aDC_IRIS_2	1200	12	13	1	0.123058988439585	HLA-DQA1	0.123058988439585	0
BostonGene	MHCII	1200	12	7	7	1.13370721022274e-15	HLA-DMB|HLA-DPA1|HLA-DPB1|HLA-DQA1|HLA-DQB1|HLA-DRA|HLA-DRB1	1.13370721022274e-15	0
xCell	Macrophages_BLUEPRINT_2	1200	133	15	15	2.24988567033246e-15	ADAMDEC1|C1QA|CCL8|CD163|CYBB|FCER1G|FOLR2|FPR3|LILRB4|MARCO|MS4A4A|MS4A6A|TREM2|TYROBP|VSIG4	7.19963414506389e-14	1
xCell	Macrophages_BLUEPRINT_3	1200	133	15	15	2.24988567033246e-15	ADAMDEC1|C1QA|CCL8|CD163|CYBB|FCER1G|FOLR2|FPR3|LILRB4|MARCO|MS4A4A|MS4A6A|TREM2|TYROBP|VSIG4	7.19963414506389e-14	1
xCell	Macrophages_BLUEPRINT_1	1200	133	14	14	2.24232302942379e-14	ADAMDEC1|C1QA|CCL8|CD163|CYBB|FCER1G|FOLR2|FPR3|LILRB4|MARCO|MS4A4A|TREM2|TYROBP|VSIG4	4.78362246277074e-13	1
xCell	Macrophages M1_FANTOM_2	1200	133	20	16	7.34381629204317e-13	ADAMDEC1|C1QA|C1QB|CCL18|CCL19|CCL8|CD163|CSF1R|CYBB|FCER1G|FPR3|LILRB4|MARCO|MS4A4A|TREM2|VSIG4	1.17501060672691e-11	1
xCell	Macrophages M1_BLUEPRINT_3	1200	133	14	13	2.81374168142195e-12	ADAMDEC1|C1QA|CCL19|CCL8|CD163|CXCL9|FCER1G|FOLR2|FPR3|LILRB4|MARCO|MS4A4A|TREM2	3.60158935222009e-11	1
xCell	Macrophages M1_FANTOM_3	1200	133	19	15	5.89103775107085e-12	ADAMDEC1|C1QA|C1QB|CCL18|CCL19|CCL8|CD163|CSF1R|CYBB|FPR3|LILRB4|MARCO|MS4A4A|TREM2|VSIG4	6.28377360114224e-11	1
xCell	Melanocytes_FANTOM_2	1200	133	28	18	1.08066412373125e-11	BCL2A1|HLA-F|IFI16|IFI27|IFI44|IFI44L|IFI6|IFIT1|IFIT2|IFIT3|ISG15|MX1|OAS2|OASL|RSAD2|RTP4|SAMD9|TAP1	9.88035770268568e-11	1
